Washington Bullets,19,242.6,40.9,95.5,.429,,,,40.9,95.5,.429,19.7,27.3,.723,18.9,31.6,50.5,23.3,5.7,5.6,15.8,24.9,101.6
Seattle Supersonics,17,244.4,42.2,91.6,.461,,,,42.2,91.6,.461,20.1,28.0,.718,17.2,31.1,48.3,22.2,8.3,5.8,18.0,25.4,104.6
Phoenix Suns,15,240.0,40.3,85.9,.469,,,,40.3,85.9,.469,22.5,31.1,.724,12.9,29.7,42.6,24.4,8.9,6.2,19.8,25.9,103.1
San Antonio Spurs,14,240.0,43.9,95.7,.458,,,,43.9,95.7,.458,21.1,27.8,.758,15.9,30.6,46.5,24.0,9.8,6.0,15.8,26.9,108.8
Philadelphia 76ers,9,240.0,44.6,89.7,.497,,,,44.6,89.7,.497,23.6,32.3,.729,15.9,31.6,47.4,29.2,9.2,7.1,20.3,26.2,112.7
Atlanta Hawks,9,242.8,40.9,90.3,.453,,,,40.9,90.3,.453,18.8,23.7,.793,17.1,30.9,48.0,24.0,6.3,6.9,14.4,27.4,100.6
Los Angeles Lakers,8,246.3,44.5,87.3,.510,,,,44.5,87.3,.510,20.4,26.0,.784,8.6,29.6,38.3,26.5,7.8,5.0,16.8,25.4,109.4
Kansas City Kings,5,240.0,38.2,92.8,.412,,,,38.2,92.8,.412,22.8,31.8,.717,18.2,28.4,46.6,21.2,13.2,4.6,20.8,29.4,99.2
Denver Nuggets,3,240.0,44.3,91.0,.487,,,,44.3,91.0,.487,21.3,29.7,.719,15.7,33.0,48.7,24.7,6.7,3.7,17.3,25.3,110.0
Portland Trail Blazers,3,240.0,39.3,86.3,.456,,,,39.3,86.3,.456,18.0,25.7,.701,14.0,32.3,46.3,21.7,11.7,6.7,18.7,29.3,96.7
New Jersey Nets,2,240.0,43.5,101.0,.431,,,,43.5,101.0,.431,20.5,32.5,.631,21.0,25.0,46.0,22.0,9.5,7.0,19.5,25.0,107.5
Houston Rockets,2,240.0,36.0,93.5,.385,,,,36.0,93.5,.385,26.5,33.0,.803,25.5,25.0,50.5,18.0,8.5,10.0,18.5,26.0,98.5
League Average,9,241.9,41.9,91.6,.457,,,,41.9,91.6,.457,20.9,28.5,.735,16.1,30.6,46.7,24.0,8.3,6.0,17.5,26.1,104.7
